change,algo,strategy,seed,post_gap,auc_gap,vs_maxmin,epoch0_gap
vm_add,QI-MRFO,continue,8,0.05964943365843167,0.07955778690013984,1.030323577153196,0.05749953293626187
vm_add,QI-MRFO,continue,9,0.0792765221581382,0.09937712351845432,1.0562731276822057,0.020232254787472953
vm_add,QI-MRFO,shock g=0.25,0,0.0736848714637994,0.12414698217508806,1.048680854721494,0.04447783037121954
vm_add,QI-MRFO,shock g=0.25,1,0.06331055168382169,0.11790263305901898,1.034707240699937,0.030569763215201554
vm_add,QI-MRFO,shock g=0.25,2,0.0681372836836783,0.09914905035030287,1.040604419507933,0.031048216084085485
vm_add,QI-MRFO,shock g=0.25,3,0.08591746679678705,0.12754466489062963,1.0521584864220663,0.01984229684932734
vm_add,QI-MRFO,shock g=0.25,4,0.06634775329519779,0.1164932436474346,1.0288399526972394,0.03833270170130556
vm_add,QI-MRFO,shock g=0.25,5,0.0862376871320387,0.14395215824983446,1.0630020512796445,0.017162763133198245
vm_add,QI-MRFO,shock g=0.25,6,0.08097683093287149,0.11687030946459305,1.0543105519156195,0.026598728744171754
vm_add,QI-MRFO,shock g=0.25,7,0.09825294221430715,0.1477513708934046,1.0650206782692035,0.0683811368309602
vm_add,QI-MRFO,shock g=0.25,8,0.07409331804542388,0.12614747290438594,1.0444193082398532,0.05749953293626187
vm_add,QI-MRFO,shock g=0.25,9,0.07554911509363349,0.12645153469254644,1.0526505075456194,0.020232254787472953
vm_add,QI-MRFO,shock g=0.5,0,0.06969202723211172,0.15509805445297783,1.0448301245044074,0.04447783037121954
vm_add,QI-MRFO,shock g=0.5,1,0.0782480009793556,0.13743556613706626,1.0492079980047282,0.030569763215201554
vm_add,QI-MRFO,shock g=0.5,2,0.07956190631270188,0.12943238677788294,1.0516998904881423,0.031048216084085485
vm_add,QI-MRFO,shock g=0.5,3,0.06860962994220132,0.16732415016996297,1.0353936176333103,0.01984229684932734
vm_add,QI-MRFO,shock g=0.5,4,0.05985716600859542,0.16510886373094047,1.0225785779347265,0.03833270170130556
vm_add,QI-MRFO,shock g=0.5,5,0.07094802700698835,0.13343315374749312,1.0480504297334459,0.017162763133198245
vm_add,QI-MRFO,shock g=0.5,6,0.07263961581481582,0.15016741987395515,1.0461840261478215,0.026598728744171754
vm_add,QI-MRFO,shock g=0.5,7,0.0967928502759842,0.1798515400380274,1.0634397839675238,0.0683811368309602
vm_add,QI-MRFO,shock g=0.5,8,0.06405705518764641,0.11951423415892926,1.0346782268771053,0.05749953293626187
vm_add,QI-MRFO,shock g=0.5,9,0.07376129335358046,0.1931885136691482,1.0508658225949103,0.020232254787472953
vm_add,QI-MRFO,shock g=0.75,0,0.0821433161491361,0.19914157051689182,1.0569811769572912,0.04447783037121954
vm_add,QI-MRFO,shock g=0.75,1,0.0835080643457231,0.17763729653703453,1.0542295033232374,0.030569763215201554
vm_add,QI-MRFO,shock g=0.75,2,0.058204567741867844,0.13645797121673592,1.0309815484613634,0.031048216084085485
vm_add,QI-MRFO,shock g=0.75,3,0.07049958565720035,0.1921018228912073,1.0373000403712749,0.01984229684932734
vm_add,QI-MRFO,shock g=0.75,4,0.08087725043178404,0.1935694567846218,1.0428140694925103,0.03833270170130556
vm_add,QI-MRFO,shock g=0.75,5,0.07642392724121902,0.18281997034605194,1.0534109913542256,0.017162763133198245
vm_add,QI-MRFO,shock g=0.75,6,0.1071112250984508,0.2002957216585402,1.0796442252771121,0.026598728744171754
vm_add,QI-MRFO,shock g=0.75,7,0.09751336435632321,0.2417098291050535,1.06387556473741,0.0683811368309602
vm_add,QI-MRFO,shock g=0.75,8,0.09000372230819495,0.18024749649156097,1.0599573096689183,0.05749953293626187
vm_add,QI-MRFO,shock g=0.75,9,0.0714355451970355,0.2727856952412304,1.0485903509893277,0.020232254787472953
vm_add,MRFO,restart,0,0.7295168921204255,0.9393307546168609,1.6897041725057682,0.661573553201824
vm_add,MRFO,restart,1,0.9850713758720306,1.217111773201085,1.9308217668742942,0.3637826418921461
vm_add,MRFO,restart,2,0.529797622761248,0.6658216959993315,1.4901920045799089,0.364173525434947
vm_add,MRFO,restart,3,0.708915309814149,0.8692780319311358,1.6555106564249171,0.2757351698555639
vm_add,MRFO,restart,4,1.0853332487915435,1.280099146241477,2.01227693517828,0.6942779594531425
vm_add,MRFO,restart,5,0.6624316357511766,0.8986306528166708,1.625284373351672,0.5073161873575747
