algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late,case
GA,n40 m2 uniform high,40,2,1,6000,86.66386530689475,86.66386530689475,10.940237805686863,86.66369131914271,2.0076199084841037e-06,3.1714022159576416,5975,0.18805719091673676,0.0,0.23296888141295205,2.2558452481076534,1.506276150627615,0.08919540229885058,,2.9327052489905787,1.5792129162462158,17b two VMs
DMO,n40 m2 uniform high,40,2,0,6000,86.67067068512603,86.67067068512603,10.940778504077155,86.66369131914271,8.053391076558901e-05,3.217212200164795,5973,0.13720538720538722,0.0,0.24882154882154883,7.641582491582492,1.0045203415369162,0.3449425287356322,,8.656228956228956,6.626936026936027,17b two VMs
DMO,n40 m2 uniform high,40,2,1,6000,86.66415328304046,86.66415328304046,10.94026211505943,86.66369131914271,5.330535668594732e-06,4.808171033859253,5973,0.13787878787878788,0.0,0.2547138047138047,7.513299663299663,0.5022601707684581,0.3122988505747126,,8.50909090909091,6.5175084175084175,17b two VMs
QI-DMO,n40 m2 uniform high,40,2,0,6000,86.66571329282122,86.66571329282122,10.940385718284727,86.66369131914271,2.3331266505409074e-05,10.498857259750366,5973,0.008585858585858586,0.0,0.34444444444444444,7.8136363636363635,0.8371002846140968,0.16017241379310346,0.9279358060494884,8.897979797979797,6.729292929292929,17b two VMs
QI-DMO,n40 m2 uniform high,40,2,1,6000,86.66774242484276,86.66774242484276,10.940511743531516,86.66369131914271,4.674513211218524e-05,6.1827778816223145,5973,0.011111111111111112,0.0,0.3415824915824916,7.354882154882155,0.5022601707684581,0.18448275862068966,0.9071087190133941,8.613468013468013,6.0962962962962965,17b two VMs
Max-Min,n40 m8 identical none,40,8,0,6000,25.0,25.0,11.11111111111111,25.0,0.0,0.010122060775756836,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,"17c identical tasks, homogeneous VMs"
Max-Min,n40 m8 identical none,40,8,1,6000,25.0,25.0,11.11111111111111,25.0,0.0,0.01292562484741211,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,"17c identical tasks, homogeneous VMs"
Random,n40 m8 identical none,40,8,0,6000,25.0,25.0,11.11111111111111,25.0,0.0,0.5433502197265625,6000,0.0,0.0,0.0,0.0,0.5,0.8730459770114942,,,,"17c identical tasks, homogeneous VMs"
Random,n40 m8 identical none,40,8,1,6000,30.0,30.0,12.444444444444445,25.0,0.2,1.1091206073760986,6000,0.0,0.0,0.0,0.0,0.16666666666666666,0.8723563218390804,,,,"17c identical tasks, homogeneous VMs"
MRFO,n40 m8 identical none,40,8,0,6000,30.0,30.0,12.444444444444445,25.0,0.2,2.0078518390655518,5970,0.02962962962962963,0.09090909090909091,0.009595959595959595,27.32811447811448,0.0,0.5123563218390805,,29.354208754208756,25.302020202020202,"17c identical tasks, homogeneous VMs"
MRFO,n40 m8 identical none,40,8,1,6000,30.0,30.0,12.444444444444445,25.0,0.2,1.6135740280151367,5970,0.018013468013468013,0.08367003367003367,0.009932659932659932,27.353872053872053,0.0,0.42005747126436777,,29.867340067340066,24.84040404040404,"17c identical tasks, homogeneous VMs"
QI-MRFO,n40 m8 identical none,40,8,0,6000,30.0,30.0,12.444444444444445,25.0,0.2,4.605147361755371,5970,0.0361952861952862,0.37744107744107747,0.008754208754208754,11.18922558922559,0.0,0.23051724137931034,0.7690004306802778,12.262626262626263,10.115824915824916,"17c identical tasks, homogeneous VMs"
QI-MRFO,n40 m8 identical none,40,8,1,6000,30.0,30.0,12.444444444444445,25.0,0.2,3.947845935821533,5970,0.040067340067340064,0.4058922558922559,0.009595959595959595,9.095117845117844,0.0,0.13804597701149426,0.8471949158832818,10.418181818181818,7.772053872053872,"17c identical tasks, homogeneous VMs"
GA,n40 m8 identical none,40,8,0,6000,25.0,25.0,11.11111111111111,25.0,0.0,4.217118740081787,5975,0.031455004205214465,0.47956265769554246,0.09066442388561817,5.175609756097561,0.33472803347280333,0.19752873563218393,,5.981830417227457,4.369660275815675,"17c identical tasks, homogeneous VMs"
GA,n40 m8 identical none,40,8,1,6000,25.0,25.0,11.11111111111111,25.0,0.0,2.4625377655029297,5975,0.024390243902439025,0.4630782169890664,0.10698065601345669,5.737258200168209,0.16736401673640167,0.23270114942528736,,6.621467025572005,4.853346787756475,"17c identical tasks, homogeneous VMs"
DMO,n40 m8 identical none,40,8,0,6000,30.0,30.0,12.444444444444445,25.0,0.2,3.1010093688964844,5973,0.06077441077441077,0.25555555555555554,0.1511784511784512,21.307070707070707,0.0,0.8299425287356321,,23.198653198653197,19.415488215488214,"17c identical tasks, homogeneous VMs"
DMO,n40 m8 identical none,40,8,1,6000,30.0,30.0,12.444444444444445,25.0,0.2,3.4284021854400635,5973,0.05555555555555555,0.2740740740740741,0.14494949494949494,20.883333333333333,0.0,0.7607471264367816,,23.037710437710437,18.72895622895623,"17c identical tasks, homogeneous VMs"
QI-DMO,n40 m8 identical none,40,8,0,6000,30.0,30.0,12.444444444444445,25.0,0.2,3.779320478439331,5973,0.000505050505050505,0.3303030303030303,0.1893939393939394,17.59983164983165,0.0,0.49810344827586206,0.7956911162979823,20.139057239057237,15.06060606060606,"17c identical tasks, homogeneous VMs"
QI-DMO,n40 m8 identical none,40,8,1,6000,25.0,25.0,11.11111111111111,25.0,0.0,5.864928245544434,5973,0.000505050505050505,0.3436026936026936,0.19343434343434343,15.380976430976432,0.16742005692281936,0.3575287356321839,0.8468212601130085,18.562626262626264,12.1993265993266,"17c identical tasks, homogeneous VMs"
Max-Min,n40 m20 uniform high,40,20,0,6000,9.434353693227605,9.434353693227605,11.399907950919077,9.1430415205612,0.031861626353909905,0.00961923599243164,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17e many VMs
Max-Min,n40 m20 uniform high,40,20,1,6000,9.434353693227605,9.434353693227605,11.399907950919077,9.1430415205612,0.031861626353909905,0.004782676696777344,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17e many VMs
Random,n40 m20 uniform high,40,20,0,6000,17.031755118636546,17.031755118636546,16.97400929057304,9.1430415205612,0.8628106500812585,0.5915162563323975,6000,0.0,0.0,0.0,0.0,1.0,0.9467816091954022,,,,17e many VMs
Random,n40 m20 uniform high,40,20,1,6000,18.927376358771955,18.927376358771955,18.497665742309366,9.1430415205612,1.0701400421519898,0.6336987018585205,6000,0.0,0.0,0.0,0.0,0.8333333333333334,0.9475862068965517,,,,17e many VMs
MRFO,n40 m20 uniform high,40,20,0,6000,16.084333022143834,16.084333022143834,16.301146433481403,9.1430415205612,0.7591884479549622,2.8618690967559814,5970,0.051683501683501686,0.030976430976430977,0.03686868686868687,28.977272727272727,1.340033500837521,0.14908045977011494,,32.21851851851852,25.736026936026935,17e many VMs
MRFO,n40 m20 uniform high,40,20,1,6000,15.128593827177223,15.128593827177223,15.393590613197812,9.1430415205612,0.6546565815276567,2.8646087646484375,5970,0.016498316498316498,0.01919191919191919,0.04158249158249158,29.62020202020202,1.8425460636515913,0.3299425287356322,,33.01717171717172,26.223232323232324,17e many VMs
QI-MRFO,n40 m20 uniform high,40,20,0,6000,11.091267964652468,11.091267964652468,12.421082766566045,9.1430415205612,0.21308297022495493,3.826420783996582,5970,0.12205387205387205,0.08013468013468013,0.06447811447811448,6.224410774410774,3.3500837520938025,0.011609195402298851,0.932119642505486,8.016498316498316,4.432323232323232,17e many VMs
QI-MRFO,n40 m20 uniform high,40,20,1,6000,11.008915509944108,11.008915509944108,12.383801808686028,9.1430415205612,0.20407585213157617,5.912351131439209,5970,0.10538720538720539,0.0765993265993266,0.07777777777777778,6.578282828282828,4.187604690117253,0.016206896551724137,0.935160921453311,8.631313131313131,4.525252525252525,17e many VMs
GA,n40 m20 uniform high,40,20,0,6000,10.854367401134667,10.854367401134667,12.200630558453256,9.1430415205612,0.18717249360893484,4.141000747680664,5975,0.02607232968881413,0.15239697224558452,0.2220353238015139,5.211774600504626,3.514644351464435,0.1849425287356322,,6.047442799461642,4.376387487386478,17e many VMs
GA,n40 m20 uniform high,40,20,1,6000,10.950813744717422,10.950813744717422,12.368419991092695,9.1430415205612,0.1977210997118234,4.56892466545105,5975,0.02253994953742641,0.1471825063078217,0.2289318755256518,5.44188393608074,3.01255230125523,0.20821839080459772,,6.374831763122477,4.509249915909855,17e many VMs
DMO,n40 m20 uniform high,40,20,0,6000,18.597907257365286,18.597907257365286,18.11205581659412,9.1430415205612,1.0341050858777843,3.7636563777923584,5973,0.03973063973063973,0.0728956228956229,0.26616161616161615,25.087878787878786,1.3393604553825549,0.8162068965517241,,27.807070707070707,22.36868686868687,17e many VMs
