algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late,case
GA,n50 m10 bimodal high,50,10,6,10000,31.49876454070134,31.49876454070134,17.549548205644435,25.10693322506205,0.25458431176528107,3.4452316761016846,9977,0.0211118930330753,0.37237357997386145,0.13923796119432996,5.952548507087564,1.3029968928535631,0.20896551724137932,,6.549165493665796,5.356051467631684,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,7,10000,26.37987249916972,26.37987249916972,15.631049096595516,25.10693322506205,0.05070070735827692,3.9674572944641113,9977,0.032673167789283204,0.15451895043731778,0.23011963406052077,5.133407057404242,2.7062243159266313,0.15839080459770113,,6.006032575909914,4.260956976276638,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,8,10000,29.88175125494343,29.88175125494343,17.01228761426902,25.10693322506205,0.19017926192256324,3.8668925762176514,9977,0.02091082738514125,0.31607519855232735,0.17140846486377803,6.040816326530612,1.9043800741705923,0.1966896551724138,,7.014076010456465,5.067752312022517,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,9,10000,28.24984909932617,28.24984909932617,16.349939363882623,25.10693322506205,0.12518119381967455,4.12263560295105,9977,0.024530009047954156,0.26078214537046346,0.18789584799437017,5.81682919473208,1.9043800741705923,0.17085057471264367,,6.494872310476573,5.1389223964616,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,10,10000,30.231095373100487,30.231095373100487,17.33012674702487,25.10693322506205,0.20409351082845256,8.69450855255127,9977,0.018397506785965616,0.362420830401126,0.1522066954860762,6.69618980597165,1.503457953292573,0.1954942528735632,,6.941886185401167,6.450542822677925,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,11,10000,27.712910841682913,27.712910841682913,16.240094566530324,25.10693322506205,0.10379513870772329,3.9334299564361572,9977,0.022519352568613652,0.2839046948828793,0.18015482054890922,5.289333467377099,3.4078380274631654,0.3028045977011494,,5.785642469334406,4.793124246079614,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,12,10000,27.06024893394277,27.06024893394277,15.883817649526884,25.10693322506205,0.07779985278850766,3.708061695098877,9977,0.0219161556248115,0.1569317382125264,0.23715693173821253,6.049462149391776,2.8064548461461363,0.1954022988505747,,6.06957570882767,6.029352633695215,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,13,10000,30.415939782326966,30.415939782326966,17.176622556460213,25.10693322506205,0.21145579628042344,5.5478761196136475,9977,0.018095908314064543,0.41027445460942996,0.13682517341912134,6.434000201065648,1.9043800741705923,0.20689655172413793,,7.2465312688517995,5.621632488942501,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,14,10000,26.803750485748118,26.803750485748118,15.804904789602539,25.10693322506205,0.06758361307912683,3.551757335662842,9977,0.030260380014074596,0.20367950135719312,0.20629335478033578,5.056599979893435,2.3053021950486117,0.1540689655172414,,5.608284737582948,4.505026135906715,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,15,10000,27.619094490795767,27.619094490795767,16.1436949547197,25.10693322506205,0.10005846764375213,4.614598751068115,9977,0.028953453302503266,0.21001306926711572,0.19804966321503972,5.23655373479441,2.104841134609602,0.16436781609195403,,6.352503519002614,4.120828307197427,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,16,10000,27.06024893394277,27.06024893394277,15.960089359741149,25.10693322506205,0.07779985278850766,4.1555304527282715,9977,0.027545993766964913,0.18950437317784258,0.21383331657786267,5.430079420930934,3.3076074972436604,0.15567816091954023,,6.3334003619545545,4.526940088459992,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,17,10000,32.67105735229052,32.67105735229052,17.861878428367397,25.10693322506205,0.3012763072025804,3.8910093307495117,9977,0.018196441138031566,0.47431386347642507,0.10978184377199156,6.733990147783251,1.0023053021950485,0.29393103448275865,,6.764126281922381,6.703860072376357,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,18,10000,27.29735683508133,27.29735683508133,16.05960199480554,25.10693322506205,0.08724377407563152,5.90679931640625,9977,0.02131295868100935,0.18980597164974364,0.21131999597868703,5.419322408766463,2.104841134609602,0.1703448275862069,,6.1757490448421475,4.663047848813832,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,19,10000,29.758118635547262,29.758118635547262,16.879970955265694,25.10693322506205,0.18525501975057396,3.6565825939178467,9977,0.02171508997687745,0.3886598974565196,0.14567206192821958,6.667940082436916,2.004610604390097,0.24193103448275863,,7.641262819223808,5.69481302774427,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,20,10000,28.24984909932617,28.24984909932617,16.449605352944225,25.10693322506205,0.12518119381967455,5.7813403606414795,9977,0.021815622800844477,0.4359103247210214,0.13139640092490198,6.286820146777923,2.6059937857071263,0.19885057471264367,,7.044439975869697,5.529352633695215,17f bimodal tall barriers
